[06:26:53] INFO: Running SecureIIoTDCOPA - Run 23/30
[06:30:30] INFO: Running SecureIIoTDCOPA - Run 24/30
[06:34:06] INFO: Running SecureIIoTDCOPA - Run 25/30
[06:37:41] INFO: Running SecureIIoTDCOPA - Run 26/30
[06:41:17] INFO: Running SecureIIoTDCOPA - Run 27/30
[06:44:51] INFO: Running SecureIIoTDCOPA - Run 28/30
[06:48:24] INFO: Running SecureIIoTDCOPA - Run 29/30
[06:51:57] INFO: Running SecureIIoTDCOPA - Run 30/30
[06:55:34] INFO: Batch experiment completed successfully!
[07:41:07] INFO: Experiment ended: Batch experiment finished

